1 玩家1 落子于(8, 8) 用时: 1.589 s
2 玩家2 落子于(7, 8) 用时: 0.077 s
3 玩家1 落子于(6, 8) 用时: 3.013 s
4 玩家2 落子于(5, 8) 用时: 0.075 s
5 玩家1 落子于(4, 8) 用时: 3.412 s
6 玩家2 落子于(3, 8) 用时: 0.068 s
7 玩家1 落子于(2, 8) 用时: 2.144 s
8 玩家2 落子于(1, 8) 用时: 0.072 s
9 玩家1 落子于(9, 8) 用时: 1.897 s
10 玩家2 落子于(10, 8) 用时: 0.077 s
11 玩家1 落子于(11, 8) 用时: 0.912 s
12 玩家2 落子于(12, 8) 用时: 0.076 s
13 玩家1 落子于(13, 8) 用时: 0.761 s
14 玩家2 落子于(14, 8) 用时: 0.078 s
15 玩家1 落子于(15, 8) 用时: 0.738 s
16 玩家2 落子于(14, 7) 用时: 0.066 s
17 玩家1 落子于(15, 7) 用时: 0.832 s
18 玩家2 落子于(14, 6) 用时: 0.066 s
19 玩家1 落子于(15, 6) 用时: 0.437 s
20 玩家2 落子于(14, 5) 用时: 0.087 s
21 玩家1 落子于(15, 5) 用时: 0.378 s
22 玩家2 落子于(14, 4) 用时: 0.081 s
玩家 PK a2, 用时: 00:18, 共经历22步厮杀, 玩家2 赢了
